,input,label
144,245,Buzz
145,246,Fizz
146,247,Other
147,248,Other
148,249,Fizz
149,250,Buzz
150,251,Other
151,252,Fizz
152,253,Other
153,254,Other
154,255,FizzBuzz
155,256,Other
156,257,Other
157,258,Fizz
158,259,Other
159,260,Buzz
160,261,Fizz
161,262,Other
162,263,Other
163,264,Fizz
164,265,Buzz
165,266,Other
166,267,Fizz
167,268,Other
168,269,Other
169,270,FizzBuzz
170,271,Other
171,272,Other
172,273,Fizz
173,274,Other
174,275,Buzz
175,276,Fizz
176,277,Other
177,278,Other
178,279,Fizz
179,280,Buzz
180,281,Other
181,282,Fizz
182,283,Other
183,284,Other
184,285,FizzBuzz
185,286,Other
186,287,Other
187,288,Fizz
188,289,Other
189,290,Buzz
190,291,Fizz
191,292,Other
192,293,Other
193,294,Fizz
194,295,Buzz
195,296,Other
196,297,Fizz
197,298,Other
198,299,Other
199,300,FizzBuzz
200,301,Other
201,302,Other
202,303,Fizz
203,304,Other
204,305,Buzz
205,306,Fizz
206,307,Other
207,308,Other
208,309,Fizz
209,310,Buzz
210,311,Other
211,312,Fizz
212,313,Other
213,314,Other
214,315,FizzBuzz
215,316,Other
216,317,Other
217,318,Fizz
218,319,Other
219,320,Buzz
220,321,Fizz
221,322,Other
222,323,Other
223,324,Fizz
224,325,Buzz
225,326,Other
226,327,Fizz
227,328,Other
228,329,Other
229,330,FizzBuzz
230,331,Other
231,332,Other
232,333,Fizz
233,334,Other
234,335,Buzz
235,336,Fizz
236,337,Other
237,338,Other
238,339,Fizz
239,340,Buzz
240,341,Other
241,342,Fizz
242,343,Other
243,344,Other
244,345,FizzBuzz
245,346,Other
246,347,Other
247,348,Fizz
248,349,Other
249,350,Buzz
250,351,Fizz
251,352,Other
252,353,Other
253,354,Fizz
254,355,Buzz
255,356,Other
256,357,Fizz
257,358,Other
258,359,Other
259,360,FizzBuzz
260,361,Other
261,362,Other
262,363,Fizz
263,364,Other
264,365,Buzz
265,366,Fizz
266,367,Other
267,368,Other
268,369,Fizz
269,370,Buzz
270,371,Other
271,372,Fizz
272,373,Other
273,374,Other
274,375,FizzBuzz
275,376,Other
276,377,Other
277,378,Fizz
278,379,Other
279,380,Buzz
280,381,Fizz
281,382,Other
282,383,Other
283,384,Fizz
284,385,Buzz
285,386,Other
286,387,Fizz
287,388,Other
288,389,Other
289,390,FizzBuzz
290,391,Other
291,392,Other
292,393,Fizz
293,394,Other
294,395,Buzz
295,396,Fizz
296,397,Other
297,398,Other
298,399,Fizz
299,400,Buzz
300,401,Other
301,402,Fizz
302,403,Other
303,404,Other
304,405,FizzBuzz
305,406,Other
306,407,Other
307,408,Fizz
308,409,Other
309,410,Buzz
310,411,Fizz
311,412,Other
312,413,Other
313,414,Fizz
314,415,Buzz
315,416,Other
316,417,Fizz
317,418,Other
318,419,Other
319,420,FizzBuzz
320,421,Other
321,422,Other
322,423,Fizz
323,424,Other
324,425,Buzz
325,426,Fizz
326,427,Other
327,428,Other
328,429,Fizz
329,430,Buzz
330,431,Other
331,432,Fizz
332,433,Other
333,434,Other
334,435,FizzBuzz
335,436,Other
336,437,Other
337,438,Fizz
338,439,Other
339,440,Buzz
340,441,Fizz
341,442,Other
342,443,Other
343,444,Fizz
344,445,Buzz
345,446,Other
346,447,Fizz
347,448,Other
348,449,Other
349,450,FizzBuzz
350,451,Other
351,452,Other
352,453,Fizz
353,454,Other
354,455,Buzz
355,456,Fizz
356,457,Other
357,458,Other
358,459,Fizz
359,460,Buzz
360,461,Other
361,462,Fizz
362,463,Other
363,464,Other
364,465,FizzBuzz
365,466,Other
366,467,Other
367,468,Fizz
368,469,Other
369,470,Buzz
370,471,Fizz
371,472,Other
372,473,Other
373,474,Fizz
374,475,Buzz
375,476,Other
376,477,Fizz
377,478,Other
378,479,Other
379,480,FizzBuzz
380,481,Other
381,482,Other
382,483,Fizz
383,484,Other
384,485,Buzz
385,486,Fizz
386,487,Other
387,488,Other
388,489,Fizz
389,490,Buzz
390,491,Other
391,492,Fizz
392,493,Other
393,494,Other
394,495,FizzBuzz
395,496,Other
396,497,Other
397,498,Fizz
398,499,Other
399,500,Buzz
400,501,Fizz
401,502,Other
402,503,Other
403,504,Fizz
404,505,Buzz
405,506,Other
406,507,Fizz
407,508,Other
408,509,Other
409,510,FizzBuzz
410,511,Other
411,512,Other
412,513,Fizz
413,514,Other
414,515,Buzz
415,516,Fizz
416,517,Other
417,518,Other
418,519,Fizz
419,520,Buzz
420,521,Other
421,522,Fizz
422,523,Other
423,524,Other
424,525,FizzBuzz
425,526,Other
426,527,Other
427,528,Fizz
428,529,Other
429,530,Buzz
430,531,Fizz
431,532,Other
432,533,Other
433,534,Fizz
434,535,Buzz
435,536,Other
436,537,Fizz
437,538,Other
438,539,Other
439,540,FizzBuzz
440,541,Other
441,542,Other
442,543,Fizz
443,544,Other
444,545,Buzz
445,546,Fizz
446,547,Other
447,548,Other
448,549,Fizz
449,550,Buzz
450,551,Other
451,552,Fizz
452,553,Other
453,554,Other
454,555,FizzBuzz
455,556,Other
456,557,Other
457,558,Fizz
458,559,Other
459,560,Buzz
460,561,Fizz
461,562,Other
462,563,Other
463,564,Fizz
464,565,Buzz
465,566,Other
466,567,Fizz
467,568,Other
468,569,Other
469,570,FizzBuzz
470,571,Other
471,572,Other
472,573,Fizz
473,574,Other
474,575,Buzz
475,576,Fizz
476,577,Other
477,578,Other
478,579,Fizz
479,580,Buzz
480,581,Other
481,582,Fizz
482,583,Other
483,584,Other
484,585,FizzBuzz
485,586,Other
486,587,Other
487,588,Fizz
488,589,Other
489,590,Buzz
490,591,Fizz
491,592,Other
492,593,Other
493,594,Fizz
494,595,Buzz
495,596,Other
496,597,Fizz
497,598,Other
498,599,Other
499,600,FizzBuzz
500,601,Other
501,602,Other
502,603,Fizz
503,604,Other
504,605,Buzz
505,606,Fizz
506,607,Other
507,608,Other
508,609,Fizz
509,610,Buzz
510,611,Other
511,612,Fizz
512,613,Other
513,614,Other
514,615,FizzBuzz
515,616,Other
516,617,Other
517,618,Fizz
518,619,Other
519,620,Buzz
520,621,Fizz
521,622,Other
522,623,Other
523,624,Fizz
524,625,Buzz
525,626,Other
526,627,Fizz
527,628,Other
528,629,Other
529,630,FizzBuzz
530,631,Other
531,632,Other
532,633,Fizz
533,634,Other
534,635,Buzz
535,636,Fizz
536,637,Other
537,638,Other
538,639,Fizz
539,640,Buzz
540,641,Other
541,642,Fizz
542,643,Other
543,644,Other
544,645,FizzBuzz
545,646,Other
546,647,Other
547,648,Fizz
548,649,Other
549,650,Buzz
550,651,Fizz
551,652,Other
552,653,Other
553,654,Fizz
554,655,Buzz
555,656,Other
556,657,Fizz
557,658,Other
558,659,Other
559,660,FizzBuzz
560,661,Other
561,662,Other
562,663,Fizz
563,664,Other
564,665,Buzz
565,666,Fizz
566,667,Other
567,668,Other
568,669,Fizz
569,670,Buzz
570,671,Other
571,672,Fizz
572,673,Other
573,674,Other
574,675,FizzBuzz
575,676,Other
576,677,Other
577,678,Fizz
578,679,Other
579,680,Buzz
580,681,Fizz
581,682,Other
582,683,Other
583,684,Fizz
584,685,Buzz
585,686,Other
586,687,Fizz
587,688,Other
588,689,Other
589,690,FizzBuzz
590,691,Other
591,692,Other
592,693,Fizz
593,694,Other
594,695,Buzz
595,696,Fizz
596,697,Other
597,698,Other
598,699,Fizz
599,700,Buzz
600,701,Other
601,702,Fizz
602,703,Other
603,704,Other
604,705,FizzBuzz
605,706,Other
606,707,Other
607,708,Fizz
608,709,Other
609,710,Buzz
610,711,Fizz
611,712,Other
612,713,Other
613,714,Fizz
614,715,Buzz
615,716,Other
616,717,Fizz
617,718,Other
618,719,Other
619,720,FizzBuzz
620,721,Other
621,722,Other
622,723,Fizz
623,724,Other
624,725,Buzz
625,726,Fizz
626,727,Other
627,728,Other
628,729,Fizz
629,730,Buzz
630,731,Other
631,732,Fizz
632,733,Other
633,734,Other
634,735,FizzBuzz
635,736,Other
636,737,Other
637,738,Fizz
638,739,Other
639,740,Buzz
640,741,Fizz
641,742,Other
642,743,Other
643,744,Fizz
644,745,Buzz
645,746,Other
646,747,Fizz
647,748,Other
648,749,Other
649,750,FizzBuzz
650,751,Other
651,752,Other
652,753,Fizz
653,754,Other
654,755,Buzz
655,756,Fizz
656,757,Other
657,758,Other
658,759,Fizz
659,760,Buzz
660,761,Other
661,762,Fizz
662,763,Other
663,764,Other
664,765,FizzBuzz
665,766,Other
666,767,Other
667,768,Fizz
668,769,Other
669,770,Buzz
670,771,Fizz
671,772,Other
672,773,Other
673,774,Fizz
674,775,Buzz
675,776,Other
676,777,Fizz
677,778,Other
678,779,Other
679,780,FizzBuzz
680,781,Other
681,782,Other
682,783,Fizz
683,784,Other
684,785,Buzz
685,786,Fizz
686,787,Other
687,788,Other
688,789,Fizz
689,790,Buzz
690,791,Other
691,792,Fizz
692,793,Other
693,794,Other
694,795,FizzBuzz
695,796,Other
696,797,Other
697,798,Fizz
698,799,Other
699,800,Buzz
700,801,Fizz
701,802,Other
702,803,Other
703,804,Fizz
704,805,Buzz
705,806,Other
706,807,Fizz
707,808,Other
708,809,Other
709,810,FizzBuzz
710,811,Other
711,812,Other
712,813,Fizz
713,814,Other
714,815,Buzz
715,816,Fizz
716,817,Other
717,818,Other
718,819,Fizz
719,820,Buzz
720,821,Other
721,822,Fizz
722,823,Other
723,824,Other
724,825,FizzBuzz
725,826,Other
726,827,Other
727,828,Fizz
728,829,Other
729,830,Buzz
730,831,Fizz
731,832,Other
732,833,Other
733,834,Fizz
734,835,Buzz
735,836,Other
736,837,Fizz
737,838,Other
738,839,Other
739,840,FizzBuzz
740,841,Other
741,842,Other
742,843,Fizz
743,844,Other
744,845,Buzz
745,846,Fizz
746,847,Other
747,848,Other
748,849,Fizz
749,850,Buzz
750,851,Other
751,852,Fizz
752,853,Other
753,854,Other
754,855,FizzBuzz
755,856,Other
756,857,Other
757,858,Fizz
758,859,Other
759,860,Buzz
760,861,Fizz
761,862,Other
762,863,Other
763,864,Fizz
764,865,Buzz
765,866,Other
766,867,Fizz
767,868,Other
768,869,Other
769,870,FizzBuzz
770,871,Other
771,872,Other
772,873,Fizz
773,874,Other
774,875,Buzz
775,876,Fizz
776,877,Other
777,878,Other
778,879,Fizz
779,880,Buzz
780,881,Other
781,882,Fizz
782,883,Other
783,884,Other
784,885,FizzBuzz
785,886,Other
786,887,Other
787,888,Fizz
788,889,Other
789,890,Buzz
790,891,Fizz
791,892,Other
792,893,Other
793,894,Fizz
794,895,Buzz
795,896,Other
796,897,Fizz
797,898,Other
798,899,Other
799,900,FizzBuzz
800,901,Other
801,902,Other
802,903,Fizz
803,904,Other
804,905,Buzz
805,906,Fizz
806,907,Other
807,908,Other
808,909,Fizz
809,910,Buzz
810,911,Other
811,912,Fizz
812,913,Other
813,914,Other
814,915,FizzBuzz
815,916,Other
816,917,Other
817,918,Fizz
818,919,Other
819,920,Buzz
820,921,Fizz
821,922,Other
822,923,Other
823,924,Fizz
824,925,Buzz
825,926,Other
826,927,Fizz
827,928,Other
828,929,Other
829,930,FizzBuzz
830,931,Other
831,932,Other
832,933,Fizz
833,934,Other
834,935,Buzz
835,936,Fizz
836,937,Other
837,938,Other
838,939,Fizz
839,940,Buzz
840,941,Other
841,942,Fizz
842,943,Other
843,944,Other
844,945,FizzBuzz
845,946,Other
846,947,Other
847,948,Fizz
848,949,Other
849,950,Buzz
850,951,Fizz
851,952,Other
852,953,Other
853,954,Fizz
854,955,Buzz
855,956,Other
856,957,Fizz
857,958,Other
858,959,Other
859,960,FizzBuzz
860,961,Other
861,962,Other
862,963,Fizz
863,964,Other
864,965,Buzz
865,966,Fizz
866,967,Other
867,968,Other
868,969,Fizz
869,970,Buzz
870,971,Other
871,972,Fizz
872,973,Other
873,974,Other
874,975,FizzBuzz
875,976,Other
876,977,Other
877,978,Fizz
878,979,Other
879,980,Buzz
880,981,Fizz
881,982,Other
882,983,Other
883,984,Fizz
884,985,Buzz
885,986,Other
886,987,Fizz
887,988,Other
888,989,Other
889,990,FizzBuzz
890,991,Other
891,992,Other
892,993,Fizz
893,994,Other
894,995,Buzz
895,996,Fizz
896,997,Other
897,998,Other
898,999,Fizz
899,1000,Buzz
900,1001,Other
901,1002,Fizz
902,1003,Other
903,1004,Other
904,1005,FizzBuzz
905,1006,Other
906,1007,Other
907,1008,Fizz
908,1009,Other
909,1010,Buzz
910,1011,Fizz
911,1012,Other
912,1013,Other
913,1014,Fizz
914,1015,Buzz
915,1016,Other
916,1017,Fizz
917,1018,Other
918,1019,Other
919,1020,FizzBuzz
920,1021,Other
921,1022,Other
922,1023,Fizz
923,1024,Other
924,1025,Buzz
925,1026,Fizz
926,1027,Other
927,1028,Other
928,1029,Fizz
929,1030,Buzz
930,1031,Other
931,1032,Fizz
932,1033,Other
933,1034,Other
934,1035,FizzBuzz
935,1036,Other
936,1037,Other
937,1038,Fizz
938,1039,Other
939,1040,Buzz
940,1041,Fizz
941,1042,Other
942,1043,Other
943,1044,Fizz
944,1045,Buzz
945,1046,Other
946,1047,Fizz
947,1048,Other
948,1049,Other
949,1050,FizzBuzz
950,1051,Other
951,1052,Other
952,1053,Fizz
953,1054,Other
954,1055,Buzz
955,1056,Fizz
956,1057,Other
957,1058,Other
958,1059,Fizz
959,1060,Buzz
960,1061,Other
961,1062,Fizz
962,1063,Other
963,1064,Other
964,1065,FizzBuzz
965,1066,Other
966,1067,Other
967,1068,Fizz
968,1069,Other
969,1070,Buzz
970,1071,Fizz
971,1072,Other
972,1073,Other
973,1074,Fizz
974,1075,Buzz
975,1076,Other
976,1077,Fizz
977,1078,Other
978,1079,Other
979,1080,FizzBuzz
980,1081,Other
981,1082,Other
982,1083,Fizz
983,1084,Other
984,1085,Buzz
985,1086,Fizz
986,1087,Other
987,1088,Other
988,1089,Fizz
989,1090,Buzz
990,1091,Other
991,1092,Fizz
992,1093,Other
993,1094,Other
994,1095,FizzBuzz
995,1096,Other
996,1097,Other
997,1098,Fizz
998,1099,Other
999,1100,Buzz
1000,1101,Fizz
1001,1102,Other
1002,1103,Other
1003,1104,Fizz
1004,1105,Buzz
1005,1106,Other
1006,1107,Fizz
1007,1108,Other
1008,1109,Other
1009,1110,FizzBuzz
1010,1111,Other
1011,1112,Other
1012,1113,Fizz
1013,1114,Other
1014,1115,Buzz
1015,1116,Fizz
1016,1117,Other
1017,1118,Other
1018,1119,Fizz
1019,1120,Buzz
1020,1121,Other
1021,1122,Fizz
1022,1123,Other
1023,1124,Other
1024,1125,FizzBuzz
1025,1126,Other
1026,1127,Other
1027,1128,Fizz
1028,1129,Other
1029,1130,Buzz
1030,1131,Fizz
1031,1132,Other
1032,1133,Other
1033,1134,Fizz
1034,1135,Buzz
1035,1136,Other
1036,1137,Fizz
1037,1138,Other
1038,1139,Other
1039,1140,FizzBuzz
1040,1141,Other
1041,1142,Other
1042,1143,Fizz
1043,1144,Other
1044,1145,Buzz
1045,1146,Fizz
1046,1147,Other
1047,1148,Other
1048,1149,Fizz
1049,1150,Buzz
1050,1151,Other
1051,1152,Fizz
1052,1153,Other
1053,1154,Other
1054,1155,FizzBuzz
1055,1156,Other
1056,1157,Other
1057,1158,Fizz
1058,1159,Other
1059,1160,Buzz
1060,1161,Fizz
1061,1162,Other
1062,1163,Other
1063,1164,Fizz
1064,1165,Buzz
1065,1166,Other
1066,1167,Fizz
1067,1168,Other
1068,1169,Other
1069,1170,FizzBuzz
1070,1171,Other
1071,1172,Other
1072,1173,Fizz
1073,1174,Other
1074,1175,Buzz
1075,1176,Fizz
1076,1177,Other
1077,1178,Other
1078,1179,Fizz
1079,1180,Buzz
1080,1181,Other
1081,1182,Fizz
1082,1183,Other
1083,1184,Other
1084,1185,FizzBuzz
1085,1186,Other
1086,1187,Other
1087,1188,Fizz
1088,1189,Other
1089,1190,Buzz
1090,1191,Fizz
1091,1192,Other
1092,1193,Other
1093,1194,Fizz
1094,1195,Buzz
1095,1196,Other
1096,1197,Fizz
1097,1198,Other
1098,1199,Other
1099,1200,FizzBuzz
1100,1201,Other
1101,1202,Other
1102,1203,Fizz
1103,1204,Other
1104,1205,Buzz
1105,1206,Fizz
1106,1207,Other
1107,1208,Other
1108,1209,Fizz
1109,1210,Buzz
1110,1211,Other
1111,1212,Fizz
1112,1213,Other
1113,1214,Other
1114,1215,FizzBuzz
1115,1216,Other
1116,1217,Other
1117,1218,Fizz
1118,1219,Other
1119,1220,Buzz
1120,1221,Fizz
1121,1222,Other
1122,1223,Other
1123,1224,Fizz
1124,1225,Buzz
1125,1226,Other
1126,1227,Fizz
1127,1228,Other
1128,1229,Other
1129,1230,FizzBuzz
1130,1231,Other
1131,1232,Other
1132,1233,Fizz
1133,1234,Other
1134,1235,Buzz
1135,1236,Fizz
1136,1237,Other
1137,1238,Other
1138,1239,Fizz
1139,1240,Buzz
1140,1241,Other
1141,1242,Fizz
1142,1243,Other
1143,1244,Other
1144,1245,FizzBuzz
1145,1246,Other
1146,1247,Other
1147,1248,Fizz
1148,1249,Other
1149,1250,Buzz
1150,1251,Fizz
1151,1252,Other
1152,1253,Other
1153,1254,Fizz
1154,1255,Buzz
1155,1256,Other
1156,1257,Fizz
1157,1258,Other
1158,1259,Other
1159,1260,FizzBuzz
1160,1261,Other
1161,1262,Other
1162,1263,Fizz
1163,1264,Other
1164,1265,Buzz
1165,1266,Fizz
1166,1267,Other
1167,1268,Other
1168,1269,Fizz
1169,1270,Buzz
1170,1271,Other
1171,1272,Fizz
1172,1273,Other
1173,1274,Other
1174,1275,FizzBuzz
1175,1276,Other
1176,1277,Other
1177,1278,Fizz
1178,1279,Other
1179,1280,Buzz
1180,1281,Fizz
1181,1282,Other
1182,1283,Other
1183,1284,Fizz
1184,1285,Buzz
1185,1286,Other
1186,1287,Fizz
1187,1288,Other
1188,1289,Other
1189,1290,FizzBuzz
1190,1291,Other
1191,1292,Other
1192,1293,Fizz
1193,1294,Other
1194,1295,Buzz
1195,1296,Fizz
1196,1297,Other
1197,1298,Other
1198,1299,Fizz
1199,1300,Buzz
1200,1301,Other
1201,1302,Fizz
1202,1303,Other
1203,1304,Other
1204,1305,FizzBuzz
1205,1306,Other
1206,1307,Other
1207,1308,Fizz
1208,1309,Other
1209,1310,Buzz
1210,1311,Fizz
1211,1312,Other
1212,1313,Other
1213,1314,Fizz
1214,1315,Buzz
1215,1316,Other
1216,1317,Fizz
1217,1318,Other
1218,1319,Other
1219,1320,FizzBuzz
1220,1321,Other
1221,1322,Other
1222,1323,Fizz
1223,1324,Other
1224,1325,Buzz
1225,1326,Fizz
1226,1327,Other
1227,1328,Other
1228,1329,Fizz
1229,1330,Buzz
1230,1331,Other
1231,1332,Fizz
1232,1333,Other
1233,1334,Other
1234,1335,FizzBuzz
1235,1336,Other
1236,1337,Other
1237,1338,Fizz
1238,1339,Other
1239,1340,Buzz
1240,1341,Fizz
1241,1342,Other
1242,1343,Other
1243,1344,Fizz
1244,1345,Buzz
1245,1346,Other
1246,1347,Fizz
1247,1348,Other
1248,1349,Other
1249,1350,FizzBuzz
1250,1351,Other
1251,1352,Other
1252,1353,Fizz
1253,1354,Other
1254,1355,Buzz
1255,1356,Fizz
1256,1357,Other
1257,1358,Other
1258,1359,Fizz
1259,1360,Buzz
1260,1361,Other
1261,1362,Fizz
1262,1363,Other
1263,1364,Other
1264,1365,FizzBuzz
1265,1366,Other
1266,1367,Other
1267,1368,Fizz
1268,1369,Other
1269,1370,Buzz
1270,1371,Fizz
1271,1372,Other
1272,1373,Other
1273,1374,Fizz
1274,1375,Buzz
1275,1376,Other
1276,1377,Fizz
1277,1378,Other
1278,1379,Other
1279,1380,FizzBuzz
1280,1381,Other
1281,1382,Other
1282,1383,Fizz
1283,1384,Other
1284,1385,Buzz
1285,1386,Fizz
1286,1387,Other
1287,1388,Other
1288,1389,Fizz
1289,1390,Buzz
1290,1391,Other
1291,1392,Fizz
1292,1393,Other
1293,1394,Other
1294,1395,FizzBuzz
1295,1396,Other
1296,1397,Other
1297,1398,Fizz
1298,1399,Other
1299,1400,Buzz
1300,1401,Fizz
1301,1402,Other
1302,1403,Other
1303,1404,Fizz
1304,1405,Buzz
1305,1406,Other
1306,1407,Fizz
1307,1408,Other
1308,1409,Other
1309,1410,FizzBuzz
1310,1411,Other
1311,1412,Other
1312,1413,Fizz
1313,1414,Other
1314,1415,Buzz
1315,1416,Fizz
1316,1417,Other
1317,1418,Other
1318,1419,Fizz
1319,1420,Buzz
1320,1421,Other
1321,1422,Fizz
1322,1423,Other
1323,1424,Other
1324,1425,FizzBuzz
1325,1426,Other
1326,1427,Other
1327,1428,Fizz
1328,1429,Other
1329,1430,Buzz
1330,1431,Fizz
1331,1432,Other
1332,1433,Other
1333,1434,Fizz
1334,1435,Buzz
1335,1436,Other
1336,1437,Fizz
1337,1438,Other
1338,1439,Other
1339,1440,FizzBuzz
1340,1441,Other
1341,1442,Other
1342,1443,Fizz
1343,1444,Other
1344,1445,Buzz
1345,1446,Fizz
1346,1447,Other
1347,1448,Other
1348,1449,Fizz
1349,1450,Buzz
1350,1451,Other
1351,1452,Fizz
1352,1453,Other
1353,1454,Other
1354,1455,FizzBuzz
1355,1456,Other
1356,1457,Other
1357,1458,Fizz
1358,1459,Other
1359,1460,Buzz
1360,1461,Fizz
1361,1462,Other
1362,1463,Other
1363,1464,Fizz
1364,1465,Buzz
1365,1466,Other
1366,1467,Fizz
1367,1468,Other
1368,1469,Other
1369,1470,FizzBuzz
1370,1471,Other
1371,1472,Other
1372,1473,Fizz
1373,1474,Other
1374,1475,Buzz
1375,1476,Fizz
1376,1477,Other
1377,1478,Other
1378,1479,Fizz
1379,1480,Buzz
1380,1481,Other
1381,1482,Fizz
1382,1483,Other
1383,1484,Other
1384,1485,FizzBuzz
1385,1486,Other
1386,1487,Other
1387,1488,Fizz
1388,1489,Other
1389,1490,Buzz
1390,1491,Fizz
1391,1492,Other
1392,1493,Other
1393,1494,Fizz
1394,1495,Buzz
1395,1496,Other
1396,1497,Fizz
1397,1498,Other
1398,1499,Other
1399,1500,FizzBuzz
1400,1501,Other
1401,1502,Other
1402,1503,Fizz
1403,1504,Other
1404,1505,Buzz
1405,1506,Fizz
1406,1507,Other
1407,1508,Other
1408,1509,Fizz
1409,1510,Buzz
1410,1511,Other
1411,1512,Fizz
1412,1513,Other
1413,1514,Other
1414,1515,FizzBuzz
1415,1516,Other
1416,1517,Other
1417,1518,Fizz
1418,1519,Other
1419,1520,Buzz
1420,1521,Fizz
1421,1522,Other
1422,1523,Other
1423,1524,Fizz
1424,1525,Buzz
1425,1526,Other
1426,1527,Fizz
1427,1528,Other
1428,1529,Other
1429,1530,FizzBuzz
1430,1531,Other
1431,1532,Other
1432,1533,Fizz
1433,1534,Other
1434,1535,Buzz
1435,1536,Fizz
1436,1537,Other
1437,1538,Other
1438,1539,Fizz
1439,1540,Buzz
1440,1541,Other
1441,1542,Fizz
1442,1543,Other
1443,1544,Other
1444,1545,FizzBuzz
1445,1546,Other
1446,1547,Other
1447,1548,Fizz
1448,1549,Other
1449,1550,Buzz
1450,1551,Fizz
1451,1552,Other
1452,1553,Other
1453,1554,Fizz
1454,1555,Buzz
1455,1556,Other
1456,1557,Fizz
1457,1558,Other
1458,1559,Other
1459,1560,FizzBuzz
1460,1561,Other
1461,1562,Other
1462,1563,Fizz
1463,1564,Other
1464,1565,Buzz
1465,1566,Fizz
1466,1567,Other
1467,1568,Other
1468,1569,Fizz
1469,1570,Buzz
1470,1571,Other
1471,1572,Fizz
1472,1573,Other
1473,1574,Other
1474,1575,FizzBuzz
1475,1576,Other
1476,1577,Other
1477,1578,Fizz
1478,1579,Other
1479,1580,Buzz
1480,1581,Fizz
1481,1582,Other
1482,1583,Other
1483,1584,Fizz
1484,1585,Buzz
1485,1586,Other
1486,1587,Fizz
1487,1588,Other
1488,1589,Other
1489,1590,FizzBuzz
1490,1591,Other
1491,1592,Other
1492,1593,Fizz
1493,1594,Other
1494,1595,Buzz
1495,1596,Fizz
1496,1597,Other
1497,1598,Other
1498,1599,Fizz
1499,1600,Buzz
1500,1601,Other
1501,1602,Fizz
1502,1603,Other
1503,1604,Other
1504,1605,FizzBuzz
1505,1606,Other
1506,1607,Other
1507,1608,Fizz
1508,1609,Other
1509,1610,Buzz
1510,1611,Fizz
1511,1612,Other
1512,1613,Other
1513,1614,Fizz
1514,1615,Buzz
1515,1616,Other
1516,1617,Fizz
1517,1618,Other
1518,1619,Other
1519,1620,FizzBuzz
1520,1621,Other
1521,1622,Other
1522,1623,Fizz
1523,1624,Other
1524,1625,Buzz
1525,1626,Fizz
1526,1627,Other
1527,1628,Other
1528,1629,Fizz
1529,1630,Buzz
1530,1631,Other
1531,1632,Fizz
1532,1633,Other
1533,1634,Other
1534,1635,FizzBuzz
1535,1636,Other
1536,1637,Other
1537,1638,Fizz
1538,1639,Other
1539,1640,Buzz
1540,1641,Fizz
1541,1642,Other
1542,1643,Other
1543,1644,Fizz
1544,1645,Buzz
1545,1646,Other
1546,1647,Fizz
1547,1648,Other
1548,1649,Other
1549,1650,FizzBuzz
1550,1651,Other
1551,1652,Other
1552,1653,Fizz
1553,1654,Other
1554,1655,Buzz
1555,1656,Fizz
1556,1657,Other
1557,1658,Other
1558,1659,Fizz
1559,1660,Buzz
1560,1661,Other
1561,1662,Fizz
1562,1663,Other
1563,1664,Other
1564,1665,FizzBuzz
1565,1666,Other
1566,1667,Other
1567,1668,Fizz
